Name,Genre,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
Grand Theft Auto V,Action,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013
Grand Theft Auto V,Action,PS4,Rockstar Games,Rockstar North,9.7,,,19.39,6.06,9.71,0.6,3.02,2014
Mario Kart 7,Racing,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,,,,,,2011
Pokemon X/Y,Role-Playing,3DS,Nintendo,Game Freak,8.9,9.7,16.37,,,,,,2013
Pokemon Sun/Moon,Role-Playing,3DS,Nintendo,Game Freak,9,,16.14,,,,,,2016
Grand Theft Auto V,Action,X360,Rockstar Games,Rockstar North,,,,15.86,9.06,5.33,0.06,1.42,2013
Pokemon Black / White Version,Role-Playing,DS,Nintendo,Game Freak,8.6,9,15.64,,,,,,2011
Call of Duty: Black Ops 3,Shooter,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015
Mario Kart 8 Deluxe,Racing,NS,Nintendo,Nintendo EPD,9.3,,15.02,,,,,,2017
Call of Duty: Modern Warfare 3,Shooter,X360,Activision,Infinity Ward,8.7,,,14.82,9.07,4.29,0.13,1.33,2011
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,Nintendo,Game Freak,,,14.17,,,,,,2014
Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,9.8,,,13.94,5.26,6.21,0.21,2.26,2018
Call of Duty: Black Ops II,Shooter,X360,Activision,Treyarch,,,,13.86,8.27,4.32,0.07,1.2,2012
Call of Duty: Black Ops II,Shooter,PS3,Activision,Treyarch,,,,13.8,4.99,5.88,0.65,2.28,2012
Super Mario Odyssey,Platform,NS,Nintendo,Nintendo EPD,9.9,,13.76,,,,,,2017
Call of Duty: WWII,Shooter,PS4,Activision,Sledgehammer Games,8,,,13.4,4.67,6.21,0.4,2.12,2017
Call of Duty: Modern Warfare 3,Shooter,PS3,Activision,Infinity Ward,8.8,,,13.35,5.54,5.78,0.49,1.54,2011
New Super Mario Bros. 2,Platform,3DS,Nintendo,Nintendo,7.5,,13.08,,,,,,2012
Grand Theft Auto V,Action,PC,Rockstar Games,Rockstar North,,,12.6,,,,,,2015
Super Mario 3D Land,Platform,3DS,Nintendo,Nintendo EAD Tokyo,8.9,,12.41,,,,,,2011
Animal Crossing: New Leaf,Simulation,3DS,Nintendo,Nintendo EAD,8.6,,12.1,,,,,,2013
Super Smash Bros. Ultimate,Fighting,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,,,,,,2018
FIFA 18,Sports,PS4,EA Sports,EA Vancouver,8.3,,,11.8,1.27,8.64,0.15,1.73,2017
The Legend of Zelda: Breath of the Wild,Action-Adventure,NS,Nintendo,Nintendo EPD,9.9,10,11.68,,,,,,2017
FIFA 17,Sports,PS4,Electronic Arts,EA Canada,8.9,,,10.94,1.26,7.95,0.12,1.61,2016
Call of Duty: Ghosts,Shooter,X360,Activision,Infinity Ward,6.9,,,10.41,6.76,2.64,0.04,0.98,2013
Just Dance 3,Misc,Wii,Ubisoft,Ubisoft Paris,7.5,,,10.14,5.95,3.13,,1.06,2011
Call of Duty: Ghosts,Shooter,PS3,Activision,Infinity Ward,7.5,,,10.13,4.11,4.01,0.39,1.62,2013
"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,NS,Nintendo,Game Freak,,,10,,,,,,2018
Super Smash Bros. for 3DS,Fighting,3DS,Nintendo,Bandai Namco Games,8.4,,9.45,,,,,,2014
Call of Duty: Black Ops IIII,Shooter,PS4,Activision,Treyarch,,,,9.32,4.05,3.28,0.5,1.49,2018
FIFA 19,Sports,PS4,Electronic Arts,EA Sports,,,,9.15,0.84,6.87,0.1,1.34,2018
The Elder Scrolls V: Skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,,8.88,5.1,2.83,0.1,0.85,2011
Grand Theft Auto V,Action,XOne,Rockstar Games,Rockstar North,9,9,,8.72,4.7,3.25,0.01,0.76,2014
Pokemon Black 2 and White 2,Role-Playing,DS,Nintendo,Game Freak,8,8.3,8.52,,,,,,2012
Call of Duty: Infinite Warfare,Shooter,PS4,Activision,Infinity Ward,,,,8.48,3.11,3.83,0.19,1.36,2016
Fallout 4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,,8.48,2.91,3.97,0.27,1.34,2015
Mario Kart 8,Racing,WiiU,Nintendo,Nintendo,8.8,,8.42,,,,,,2014
Pokemon: Ultra Sun and Ultra Moon,Role-Playing,3DS,Nintendo,Game Freak,8.1,,8.28,,,,,,2017
Splatoon 2,Shooter,NS,Nintendo,Nintendo EPD,8.2,,8.27,,,,,,2017
FIFA 16,Sports,PS4,EA Sports,EA Canada,8.5,,,8.22,1.15,5.77,0.07,1.23,2015
Star Wars Battlefront (2015),Shooter,PS4,Electronic Arts,EA DICE,7.1,,,8.03,3.31,3.19,0.23,1.3,2015
FIFA 13,Sports,PS3,EA Sports,EA Canada,,,,8.01,1.07,5.13,0.13,1.68,2012
Call of Duty: Advanced Warfare,Shooter,PS4,Activision,Sledgehammer Games,8.5,,,7.53,2.84,3.34,0.14,1.22,2014
Call of Duty: Black Ops 3,Shooter,XOne,Activision,Treyarch,,,,7.37,4.63,2.04,0.02,0.68,2015
Battlefield 3,Shooter,X360,Electronic Arts,Dice,8.5,,,7.35,4.47,2.12,0.06,0.69,2011
Battlefield 1,Shooter,PS4,Electronic Arts,EA DICE,,,,7.26,2.2,3.65,0.29,1.12,2016
Battlefield 3,Shooter,PS3,Electronic Arts,Dice,8.5,,,7.21,2.86,2.94,0.35,1.07,2011
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,3DS,Nintendo,Level 5,,,7.03,,,,,,2016
Just Dance 4,Music,Wii,Ubisoft,Ubisoft,,,,6.89,4.05,2.21,,0.62,2012
Uncharted 3: Drake's Deception,Action,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,,6.84,2.77,2.81,0.19,1.06,2011
FIFA Soccer 12,Sports,PS3,EA Sports,EA Canada,9.2,,,6.65,0.84,4.33,0.11,1.37,2011
FIFA 14,Sports,PS3,EA Sports,EA Canada,,,,6.61,0.79,4.77,0.07,0.98,2013
Red Dead Redemption,Action,PS3,Rockstar Games,Rockstar San Diego,9.5,,,6.57,2.82,2.58,0.17,1,2011
Assassin's Creed III,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,8.8,,,6.5,2.65,2.61,0.16,1.08,2012
The Elder Scrolls V: Skyrim,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,9,,,6.49,2.57,2.68,0.25,0.99,2011
Tomodachi Life,Simulation,3DS,Nintendo,Nintendo,7.8,,6.4,,,,,,2014
Minecraft,Misc,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014
FIFA 15,Sports,PS4,EA Sports,EA Canada,8.1,,,6.32,0.83,4.49,0.05,0.94,2014
Call of Duty: WWII,Shooter,XOne,Activision,Sledgehammer Games,,,,6.23,3.75,1.91,,0.57,2017
Super Mario 3D World,Platform,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,,5.8,,,,,,2013
Red Dead Redemption 2,Action-Adventure,XOne,Rockstar Games,Rockstar Games,,,,5.77,3.76,1.47,,0.54,2018
New Super Mario Bros. U,Platform,WiiU,Nintendo,Nintendo EAD,8.4,,5.77,,,,,,2012
Destiny,Shooter,PS4,Activision,Bungie,,,,5.76,2.53,2.13,0.16,0.94,2014
Luigi's Mansion: Dark Moon,Adventure,3DS,Nintendo,Next Level Games,8.6,,5.75,,,,,,2013
Uncharted: The Nathan Drake Collection,Action,PS4,Sony Computer Entertainment,Bluepoint Games,,,,5.7,2.55,2.11,0.1,0.94,2015
The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,3DS,Nintendo,GREZZO,9.5,,5.62,,,,,,2011
Tomb Raider (2013),Action,PC,Square Enix,Crystal Dynamics,8.8,,5.5,,,,,,2013
The Witcher 3: Wild Hunt,Role-Playing,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,5.48,,,,,,2015
The Witcher 3: Wild Hunt,Role-Playing,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,,5.39,1.48,2.82,0.28,0.81,2015
Super Smash Bros. for Wii U,Fighting,WiiU,Nintendo,Bandai Namco Games,9.2,,5.35,,,,,,2014
Assassin's Creed III,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,,,,5.31,3.13,1.71,0.03,0.45,2012
Super Mario Party,Party,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,,5.3,,,,,,2018
Call of Duty: Advanced Warfare,Shooter,XOne,Activision,Sledgehammer Games,8.3,,,5.22,3.25,1.49,0.01,0.48,2014
Nintendo Land,Party,WiiU,Nintendo,Nintendo,7.8,,5.19,,,,,,2012
Battlefield 1,Shooter,XOne,Electronic Arts,EA DICE,,,,5.13,3.37,1.26,0.02,0.48,2016
FIFA 13,Sports,X360,EA Sports,EA Canada,,,,5.11,1.1,3.49,0.03,0.5,2012
Final Fantasy XV,Role-Playing,PS4,Square Enix,Square Enix,8.1,,,5.07,1.81,1.53,1.05,0.68,2016
Fallout 4,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,,,5.03,2.94,1.62,0.02,0.45,2015
Splatoon,Shooter,WiiU,Nintendo,Nintendo EAD,8.4,,4.94,,,,,,2015
Call of Duty: Black Ops IIII,Shooter,XOne,Activision,Treyarch,,,,4.85,3.27,1.12,,0.46,2018
Crash Bandicoot N. Sane Trilogy,Platform,PS4,Activision,Vicarious Visions,,,,4.83,1.09,2.92,0.07,0.74,2017
Call of Duty: Infinite Warfare,Shooter,XOne,Activision,Infinity Ward,,,,4.79,2.91,1.44,,0.44,2016
